2017/11/05	      ES	EUR	   34.89	   35.29
2017/11/05	      ES	GBP	    39.3	    39.7
2017/11/05	      ES	AUD	   23.03	   23.23
2017/11/05	      ES	CAD	   23.56	   23.74
2017/11/05	      ES	CHF	   30.09	   30.29
2017/11/05	      ES	SGD	   22.06	   22.22
2017/11/05	      ES	THB	   0.891	   0.931
2017/11/05	      ES	NZD	   20.69	   20.93
2017/11/05	      ES	SEK	   3.553	   3.613
2017/11/05	      ES	ZAR	   2.067	   2.187
2017/11/05	      ES	CNY	   4.527	   4.577
2017/11/05	      ES	MXN	   1.515	   1.635
2017/11/05	      HSBC	USD	  29.902	  30.502
2017/11/05	      HSBC	EUR	34.58214	35.56246
2017/11/05	      HSBC	GBP	38.64704	40.33132
2017/11/05	      HSBC	AUD	22.77585	23.44544
2017/11/05	      HSBC	NZD	       -	       -
2017/11/05	      HSBC	HKD	 3.74403	 3.99767
2017/11/05	      HSBC	CAD	       -	       -
2017/11/05	      HSBC	SGD	       -	       -
2017/11/05	      HSBC	CHF	       -	       -
2017/11/05	      HSBC	JPY	0.2583677	0.2697786
2017/11/05	      HSBC	SEK	       -	       -
2017/11/05	      HSBC	ZAR	       -	       -
2017/11/05	      HSBC	CNY	 4.42878	 4.67452
2017/11/06	       BOT	USD	  29.815	  30.357
2017/11/06	       BOT	HKD	   3.715	    3.91
2017/11/06	       BOT	GBP	   38.69	   40.62
2017/11/06	       BOT	AUD	   22.89	   23.55
2017/11/06	       BOT	CAD	   23.36	    24.1
2017/11/06	       BOT	SGD	   21.64	   22.42
2017/11/06	       BOT	CHF	   29.53	   30.59
2017/11/06	       BOT	JPY	  0.2567	  0.2677
2017/11/06	       BOT	ZAR	       -	       -
2017/11/06	       BOT	SEK	    3.21	    3.72
2017/11/06	       BOT	NZD	   20.58	   21.21
2017/11/06	       BOT	THB	  0.8068	  0.9498
2017/11/06	       BOT	PHP	  0.5401	  0.6731
2017/11/06	       BOT	IDR	 0.00188	 0.00258
2017/11/06	       BOT	EUR	   34.33	   35.48
2017/11/06	       BOT	KRW	  0.0254	  0.0293
2017/11/06	       BOT	VND	 0.00096	 0.00146
